"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"31/01/2022","10,05","10,19","1,19","10,00","10,26","282,16M"
"28/01/2022","9,94","10,07","1,00","9,88","10,09","188,89M"
"27/01/2022","9,88","9,97","1,32","9,87","10,10","214,97M"
"26/01/2022","9,78","9,84","1,03","9,72","9,90","289,37M"
"25/01/2022","9,50","9,74","2,53","9,44","9,78","249,21M"
"24/01/2022","9,54","9,50","-0,52","9,40","9,62","240,75M"
"21/01/2022","9,59","9,55","-0,62","9,51","9,71","256,48M"
"20/01/2022","9,65","9,61","-0,10","9,57","9,69","206,52M"
"19/01/2022","9,60","9,62","0,10","9,52","9,71","268,76M"
"18/01/2022","9,50","9,61","0,73","9,48","9,71","401,03M"
"17/01/2022","9,48","9,54","0,00","9,42","9,60","138,89M"
"14/01/2022","9,48","9,54","1,15","9,45","9,59","364,62M"
"13/01/2022","9,15","9,43","2,80","9,14","9,46","385,25M"
"12/01/2022","9,21","9,18","-0,32","9,08","9,31","285,44M"
"11/01/2022","9,05","9,20","1,63","8,98","9,22","342,39M"
"10/01/2022","9,03","9,06","0,00","8,96","9,10","196,06M"
"07/01/2022","8,95","9,06","1,21","8,89","9,07","193,02M"
"06/01/2022","8,86","8,95","0,89","8,83","9,02","211,02M"
"05/01/2022","8,93","8,87","-1,10","8,80","8,99","308,38M"
"04/01/2022","8,91","8,97","0,78","8,85","9,05","346,60M"
"03/01/2022","8,90","8,90","1,01","8,80","9,07","254,08M"
"30/12/2021","8,92","8,81","-1,11","8,78","8,94","205,79M"
"29/12/2021","8,96","8,91","-0,55","8,85","8,99","114,74M"
"28/12/2021","8,97","8,96","-0,11","8,91","9,03","112,66M"
"27/12/2021","8,88","8,97","1,11","8,84","8,97","136,97M"
"23/12/2021","8,86","8,87","0,22","8,79","8,90","106,82M"
"22/12/2021","8,81","8,85","0,34","8,73","8,86","133,27M"
"21/12/2021","8,95","8,82","-0,67","8,77","8,98","217,01M"
"20/12/2021","8,95","8,88","-0,94","8,78","8,96","227,88M"
"17/12/2021","9,09","8,96","-1,75","8,94","9,10","292,53M"
"16/12/2021","9,15","9,12","0,10","9,05","9,17","201,55M"
"15/12/2021","9,12","9,11","0,94","8,94","9,15","266,12M"
"14/12/2021","9,07","9,03","0,73","9,03","9,24","281,38M"
"13/12/2021","9,12","8,96","-1,44","8,96","9,19","263,96M"
"10/12/2021","9,13","9,09","0,21","9,01","9,18","124,12M"
"09/12/2021","9,31","9,08","-2,32","9,00","9,32","178,60M"
"08/12/2021","9,30","9,29","0,30","9,19","9,34","315,06M"
"07/12/2021","9,45","9,26","-0,90","9,24","9,46","206,31M"
"06/12/2021","9,26","9,35","1,22","9,24","9,46","218,68M"
"03/12/2021","9,26","9,24","-0,51","9,15","9,45","242,86M"
